,hu_xing,area,chao_xiang,other,lou_cen,lei_xin,dan_jia,zong_jia
0,3室1厅 ,151.6,东南, 简装 , 高楼层(共30层) , 2001年建 ,"56,062元/平",850
1,3室2厅 ,119.1,南西北, 精装 , 中楼层(共7层) , 2002年建 ,"45,226元/平",539
2,2室1厅 ,93.8,南北东, 简装 , 中楼层(共7层) , 1999年建 ,"40,512元/平",380
3,3室2厅 ,119.3,南北, 简装 , 中楼层(共23层) , 2004年建 ,"57,375元/平",685
4,2室1厅 ,90.8,北南, 精装 , 中楼层(共14层) , 2011年建 ,"29,513元/平",268
5,2室1厅 ,104.9,西南, 精装 , 低楼层(共15层) , 2007年建 ,"71,783元/平",753
6,1室1厅 ,45.4,南, 精装 , 顶层(共6层) , 1991年建 ,"56,716元/平",258
7,3室2厅 ,131.7,南北, 精装 , 低楼层(共19层) , 2015年建 ,"41,762元/平",550
8,3室1厅 ,92.4,南西北, 精装 , 中楼层(共34层) , 2015年建 ,"53,543元/平",495
9,1室1厅 ,41.5,南, 精装 , 6层 , 1990年建 ,"33,968元/平",141
10,3室2厅 ,146.0,东北, 简装 , 中楼层(共18层) , 2002年建 ,"102,013元/平",1490
11,2室2厅 ,133.2,南北, 简装 , 6层 , 1995年建 ,"97,516元/平",1299
12,2室1厅 ,81.5,南北, 简装 , 高楼层(共10层) , 2009年建 ,"47,836元/平",390
13,4室2厅 ,188.4,南北, 精装 , 中楼层(共18层) , 2003年建 ,"76,964元/平",1450
14,3室2厅 ,169.5,南北, 简装 , 中楼层(共13层) , 2003年建 ,"34,512元/平",585
15,2室1厅 ,83.8,东北, 精装 , 低楼层(共14层) , 2013年建 ,"51,910元/平",435
16,3室1厅 ,68.7,南北, 简装 , 4层 , 1992年建 ,"98,924元/平",680
17,4室2厅 ,212.7,南北, 精装 , 18层 , 2011年建 ,"82,249元/平",1750
18,3室2厅 ,154.4,西, 精装 , 低楼层(共23层) , 2001年建 ,"61,521元/平",950
19,4室1厅 ,174.7,东南北, 简装 , 低楼层(共28层) , 2001年建 ,"50,939元/平",890
20,3室2厅 ,147.5,南北, 精装 , 底层(共4层) , 2007年建 ,"66,401元/平",980
21,3室1厅 ,161.7,东南, 精装 , 中楼层(共24层) , 2001年建 ,"60,912元/平",985
22,3室1厅 ,128.7,东南西, 精装 , 高楼层(共28层) , 2010年建 ,"73,764元/平",950
23,3室1厅 ,71.6,东南, 简装 , 低楼层(共18层) , 1987年建 ,"57,929元/平",415
24,3室1厅 ,88.9,西南, 精装 , 中楼层(共25层) , 1993年建 ,"70,795元/平",630
25,2室1厅 ,88.5,南, 精装 , 低楼层(共28层) , 2010年建 ,"102,744元/平",910
